Treatment,Time_point,Family,variable,n,mean,sd
Saline,T72,Sterolibacteriaceae,Abundance,3,0,0
DMSO,T0,Streptococcaceae,Abundance,3,0.069,0.031
Imolope_high,T0,Streptococcaceae,Abundance,3,0.108,0.052
Imolope_low,T0,Streptococcaceae,Abundance,3,0.071,0.008
Lop_high,T0,Streptococcaceae,Abundance,3,0.13,0.052
Lop_low,T0,Streptococcaceae,Abundance,3,0.125,0.004
Saline,T0,Streptococcaceae,Abundance,3,0.093,0.017
DMSO,T24,Streptococcaceae,Abundance,3,0.001,0.001
Imolope_high,T24,Streptococcaceae,Abundance,3,0.007,0.003
Imolope_low,T24,Streptococcaceae,Abundance,3,0.001,0.001
Lop_high,T24,Streptococcaceae,Abundance,3,0.002,0.001
Lop_low,T24,Streptococcaceae,Abundance,3,0.001,0.002
Saline,T24,Streptococcaceae,Abundance,3,0.002,0.002
DMSO,T48,Streptococcaceae,Abundance,3,0.002,0.002
Imolope_high,T48,Streptococcaceae,Abundance,3,0.001,0.001
Imolope_low,T48,Streptococcaceae,Abundance,3,0.001,0.001
Lop_high,T48,Streptococcaceae,Abundance,3,0,0.001
Lop_low,T48,Streptococcaceae,Abundance,3,0.001,0.001
Saline,T48,Streptococcaceae,Abundance,3,0,0.001
DMSO,T72,Streptococcaceae,Abundance,3,0.001,0.001
Imolope_high,T72,Streptococcaceae,Abundance,3,0.002,0.003
Imolope_low,T72,Streptococcaceae,Abundance,3,0,0.001
Lop_high,T72,Streptococcaceae,Abundance,3,0,0
Lop_low,T72,Streptococcaceae,Abundance,3,0,0.001
Saline,T72,Streptococcaceae,Abundance,3,0,0
DMSO,T0,Sutterellaceae,Abundance,3,0.039,0.053
Imolope_high,T0,Sutterellaceae,Abundance,3,0.012,0.01
Imolope_low,T0,Sutterellaceae,Abundance,3,0.003,0.002
Lop_high,T0,Sutterellaceae,Abundance,3,0.005,0.009
Lop_low,T0,Sutterellaceae,Abundance,3,0.008,0.004
Saline,T0,Sutterellaceae,Abundance,3,0.005,0.006
DMSO,T24,Sutterellaceae,Abundance,3,0.113,0.04
Imolope_high,T24,Sutterellaceae,Abundance,3,0.268,0.264
Imolope_low,T24,Sutterellaceae,Abundance,3,0.346,0.365
Lop_high,T24,Sutterellaceae,Abundance,3,0.526,0.209
Lop_low,T24,Sutterellaceae,Abundance,3,0.511,0.404
Saline,T24,Sutterellaceae,Abundance,3,0.826,0.389
DMSO,T48,Sutterellaceae,Abundance,3,0.604,0.222
Imolope_high,T48,Sutterellaceae,Abundance,3,0.625,0.691
Imolope_low,T48,Sutterellaceae,Abundance,3,0.698,0.199
Lop_high,T48,Sutterellaceae,Abundance,3,0.795,0.336
Lop_low,T48,Sutterellaceae,Abundance,3,0.638,0.209
Saline,T48,Sutterellaceae,Abundance,3,0.726,0.945
DMSO,T72,Sutterellaceae,Abundance,3,1.395,0.392
Imolope_high,T72,Sutterellaceae,Abundance,3,0.612,0.312
Imolope_low,T72,Sutterellaceae,Abundance,3,0.694,0.366
Lop_high,T72,Sutterellaceae,Abundance,3,0.857,0.977
Lop_low,T72,Sutterellaceae,Abundance,3,0.234,0.263
Saline,T72,Sutterellaceae,Abundance,3,0.358,0.359
DMSO,T0,Tissierellaceae,Abundance,3,0,0
Imolope_high,T0,Tissierellaceae,Abundance,3,0,0
Imolope_low,T0,Tissierellaceae,Abundance,3,0,0
Lop_high,T0,Tissierellaceae,Abundance,3,0,0
Lop_low,T0,Tissierellaceae,Abundance,3,0,0
Saline,T0,Tissierellaceae,Abundance,3,0,0
DMSO,T24,Tissierellaceae,Abundance,3,0,0
Imolope_high,T24,Tissierellaceae,Abundance,3,0,0
Imolope_low,T24,Tissierellaceae,Abundance,3,0,0
Lop_high,T24,Tissierellaceae,Abundance,3,0,0
Lop_low,T24,Tissierellaceae,Abundance,3,0,0
Saline,T24,Tissierellaceae,Abundance,3,0,0
DMSO,T48,Tissierellaceae,Abundance,3,0,0
Imolope_high,T48,Tissierellaceae,Abundance,3,0,0
Imolope_low,T48,Tissierellaceae,Abundance,3,0,0
Lop_high,T48,Tissierellaceae,Abundance,3,0,0
Lop_low,T48,Tissierellaceae,Abundance,3,0,0
Saline,T48,Tissierellaceae,Abundance,3,0,0
DMSO,T72,Tissierellaceae,Abundance,3,0,0
Imolope_high,T72,Tissierellaceae,Abundance,3,0,0
Imolope_low,T72,Tissierellaceae,Abundance,3,0,0
Lop_high,T72,Tissierellaceae,Abundance,3,0,0
Lop_low,T72,Tissierellaceae,Abundance,3,0,0
Saline,T72,Tissierellaceae,Abundance,3,0.036,0.063
DMSO,T0,Veillonellaceae,Abundance,3,0.011,0.019
Imolope_high,T0,Veillonellaceae,Abundance,3,0,0
Imolope_low,T0,Veillonellaceae,Abundance,3,0,0
Lop_high,T0,Veillonellaceae,Abundance,3,0,0
Lop_low,T0,Veillonellaceae,Abundance,3,0,0
Saline,T0,Veillonellaceae,Abundance,3,0,0
DMSO,T24,Veillonellaceae,Abundance,3,0,0
Imolope_high,T24,Veillonellaceae,Abundance,3,0,0
Imolope_low,T24,Veillonellaceae,Abundance,3,0,0
Lop_high,T24,Veillonellaceae,Abundance,3,0,0
Lop_low,T24,Veillonellaceae,Abundance,3,0,0
Saline,T24,Veillonellaceae,Abundance,3,0,0
DMSO,T48,Veillonellaceae,Abundance,3,0,0
Imolope_high,T48,Veillonellaceae,Abundance,3,0,0
Imolope_low,T48,Veillonellaceae,Abundance,3,0,0
Lop_high,T48,Veillonellaceae,Abundance,3,0,0
Lop_low,T48,Veillonellaceae,Abundance,3,0,0
Saline,T48,Veillonellaceae,Abundance,3,0,0
DMSO,T72,Veillonellaceae,Abundance,3,0,0
Imolope_high,T72,Veillonellaceae,Abundance,3,0,0
Imolope_low,T72,Veillonellaceae,Abundance,3,0,0
Lop_high,T72,Veillonellaceae,Abundance,3,0,0
Lop_low,T72,Veillonellaceae,Abundance,3,0,0
Saline,T72,Veillonellaceae,Abundance,3,0,0
