Treatment,Time_point,Family,variable,n,mean,sd
Saline,T0,Carnobacteriaceae,Abundance,3,0.001,0.002
DMSO,T24,Carnobacteriaceae,Abundance,3,0,0
Imolope_high,T24,Carnobacteriaceae,Abundance,3,0,0
Imolope_low,T24,Carnobacteriaceae,Abundance,3,0,0
Lop_high,T24,Carnobacteriaceae,Abundance,3,0,0
Lop_low,T24,Carnobacteriaceae,Abundance,3,0,0
Saline,T24,Carnobacteriaceae,Abundance,3,0,0
DMSO,T48,Carnobacteriaceae,Abundance,3,0,0
Imolope_high,T48,Carnobacteriaceae,Abundance,3,0,0
Imolope_low,T48,Carnobacteriaceae,Abundance,3,0,0
Lop_high,T48,Carnobacteriaceae,Abundance,3,0,0
Lop_low,T48,Carnobacteriaceae,Abundance,3,0,0
Saline,T48,Carnobacteriaceae,Abundance,3,0,0
DMSO,T72,Carnobacteriaceae,Abundance,3,0,0
Imolope_high,T72,Carnobacteriaceae,Abundance,3,0,0
Imolope_low,T72,Carnobacteriaceae,Abundance,3,0,0
Lop_high,T72,Carnobacteriaceae,Abundance,3,0,0
Lop_low,T72,Carnobacteriaceae,Abundance,3,0,0
Saline,T72,Carnobacteriaceae,Abundance,3,0,0
DMSO,T0,Catabacteriaceae,Abundance,3,0.023,0.032
Imolope_high,T0,Catabacteriaceae,Abundance,3,0.021,0.009
Imolope_low,T0,Catabacteriaceae,Abundance,3,0.006,0.007
Lop_high,T0,Catabacteriaceae,Abundance,3,0.008,0.004
Lop_low,T0,Catabacteriaceae,Abundance,3,0.014,0.009
Saline,T0,Catabacteriaceae,Abundance,3,0.005,0.004
DMSO,T24,Catabacteriaceae,Abundance,3,0,0
Imolope_high,T24,Catabacteriaceae,Abundance,3,0,0
Imolope_low,T24,Catabacteriaceae,Abundance,3,0,0.001
Lop_high,T24,Catabacteriaceae,Abundance,3,0,0
Lop_low,T24,Catabacteriaceae,Abundance,3,0,0
Saline,T24,Catabacteriaceae,Abundance,3,0,0
DMSO,T48,Catabacteriaceae,Abundance,3,0,0
Imolope_high,T48,Catabacteriaceae,Abundance,3,0,0
Imolope_low,T48,Catabacteriaceae,Abundance,3,0,0
Lop_high,T48,Catabacteriaceae,Abundance,3,0,0
Lop_low,T48,Catabacteriaceae,Abundance,3,0,0
Saline,T48,Catabacteriaceae,Abundance,3,0,0
DMSO,T72,Catabacteriaceae,Abundance,3,0,0
Imolope_high,T72,Catabacteriaceae,Abundance,3,0,0
Imolope_low,T72,Catabacteriaceae,Abundance,3,0,0
Lop_high,T72,Catabacteriaceae,Abundance,3,0,0
Lop_low,T72,Catabacteriaceae,Abundance,3,0,0
Saline,T72,Catabacteriaceae,Abundance,3,0,0
DMSO,T0,Chitinophagaceae,Abundance,3,0.005,0.009
Imolope_high,T0,Chitinophagaceae,Abundance,3,0.002,0.004
Imolope_low,T0,Chitinophagaceae,Abundance,3,0.003,0.005
Lop_high,T0,Chitinophagaceae,Abundance,3,0.003,0.005
Lop_low,T0,Chitinophagaceae,Abundance,3,0.001,0.002
Saline,T0,Chitinophagaceae,Abundance,3,0.001,0.002
DMSO,T24,Chitinophagaceae,Abundance,3,0,0
Imolope_high,T24,Chitinophagaceae,Abundance,3,0,0
Imolope_low,T24,Chitinophagaceae,Abundance,3,0,0
Lop_high,T24,Chitinophagaceae,Abundance,3,0,0
Lop_low,T24,Chitinophagaceae,Abundance,3,0,0
Saline,T24,Chitinophagaceae,Abundance,3,0,0
DMSO,T48,Chitinophagaceae,Abundance,3,0,0
Imolope_high,T48,Chitinophagaceae,Abundance,3,0,0
Imolope_low,T48,Chitinophagaceae,Abundance,3,0,0
Lop_high,T48,Chitinophagaceae,Abundance,3,0,0
Lop_low,T48,Chitinophagaceae,Abundance,3,0,0
Saline,T48,Chitinophagaceae,Abundance,3,0,0
DMSO,T72,Chitinophagaceae,Abundance,3,0,0
