Treatment,Time_point,Genus,variable,n,mean,sd
Lop_high,T72,Anaerotruncus,Abundance,3,0,0
Lop_low,T72,Anaerotruncus,Abundance,3,0,0.001
Saline,T72,Anaerotruncus,Abundance,3,0.006,0.008
DMSO,T0,Anoxybacillus,Abundance,3,0,0
Imolope_high,T0,Anoxybacillus,Abundance,3,0,0
Imolope_low,T0,Anoxybacillus,Abundance,3,0,0
Lop_high,T0,Anoxybacillus,Abundance,3,0.009,0.015
Lop_low,T0,Anoxybacillus,Abundance,3,0,0
Saline,T0,Anoxybacillus,Abundance,3,0,0
DMSO,T24,Anoxybacillus,Abundance,3,0,0
Imolope_high,T24,Anoxybacillus,Abundance,3,0,0
Imolope_low,T24,Anoxybacillus,Abundance,3,0,0
Lop_high,T24,Anoxybacillus,Abundance,3,0,0
Lop_low,T24,Anoxybacillus,Abundance,3,0,0
Saline,T24,Anoxybacillus,Abundance,3,0,0
DMSO,T48,Anoxybacillus,Abundance,3,0,0
Imolope_high,T48,Anoxybacillus,Abundance,3,0,0
Imolope_low,T48,Anoxybacillus,Abundance,3,0,0
Lop_high,T48,Anoxybacillus,Abundance,3,0,0
Lop_low,T48,Anoxybacillus,Abundance,3,0,0
Saline,T48,Anoxybacillus,Abundance,3,0,0
DMSO,T72,Anoxybacillus,Abundance,3,0,0
Imolope_high,T72,Anoxybacillus,Abundance,3,0,0
Imolope_low,T72,Anoxybacillus,Abundance,3,0,0
Lop_high,T72,Anoxybacillus,Abundance,3,0,0
Lop_low,T72,Anoxybacillus,Abundance,3,0,0
Saline,T72,Anoxybacillus,Abundance,3,0,0
DMSO,T0,Aquabacterium,Abundance,3,0.028,0.049
Imolope_high,T0,Aquabacterium,Abundance,3,0,0
Imolope_low,T0,Aquabacterium,Abundance,3,0.002,0.003
Lop_high,T0,Aquabacterium,Abundance,3,0,0
Lop_low,T0,Aquabacterium,Abundance,3,0.007,0.009
Saline,T0,Aquabacterium,Abundance,3,0.007,0.013
DMSO,T24,Aquabacterium,Abundance,3,0,0
Imolope_high,T24,Aquabacterium,Abundance,3,0,0
Imolope_low,T24,Aquabacterium,Abundance,3,0,0
Lop_high,T24,Aquabacterium,Abundance,3,0,0
Lop_low,T24,Aquabacterium,Abundance,3,0,0
Saline,T24,Aquabacterium,Abundance,3,0,0
DMSO,T48,Aquabacterium,Abundance,3,0,0
Imolope_high,T48,Aquabacterium,Abundance,3,0,0
Imolope_low,T48,Aquabacterium,Abundance,3,0,0
Lop_high,T48,Aquabacterium,Abundance,3,0,0
Lop_low,T48,Aquabacterium,Abundance,3,0,0
Saline,T48,Aquabacterium,Abundance,3,0,0.001
DMSO,T72,Aquabacterium,Abundance,3,0,0
Imolope_high,T72,Aquabacterium,Abundance,3,0,0
Imolope_low,T72,Aquabacterium,Abundance,3,0,0
Lop_high,T72,Aquabacterium,Abundance,3,0,0
Lop_low,T72,Aquabacterium,Abundance,3,0,0
Saline,T72,Aquabacterium,Abundance,3,0,0.001
DMSO,T0,Bacteroides,Abundance,3,1.077,0.821
Imolope_high,T0,Bacteroides,Abundance,3,0.47,0.095
Imolope_low,T0,Bacteroides,Abundance,3,0.421,0.116
Lop_high,T0,Bacteroides,Abundance,3,0.583,0.35
Lop_low,T0,Bacteroides,Abundance,3,0.572,0.138
Saline,T0,Bacteroides,Abundance,3,0.361,0.004
DMSO,T24,Bacteroides,Abundance,3,7.446,3.219
Imolope_high,T24,Bacteroides,Abundance,3,11.747,3.79
Imolope_low,T24,Bacteroides,Abundance,3,17.37,1.896
Lop_high,T24,Bacteroides,Abundance,3,9.538,2.322
Lop_low,T24,Bacteroides,Abundance,3,13.492,4.502
Saline,T24,Bacteroides,Abundance,3,11.771,1.818
DMSO,T48,Bacteroides,Abundance,3,15.791,0.908
Imolope_high,T48,Bacteroides,Abundance,3,21.844,0.384
Imolope_low,T48,Bacteroides,Abundance,3,22.213,1.711
Lop_high,T48,Bacteroides,Abundance,3,16.608,2.219
Lop_low,T48,Bacteroides,Abundance,3,19.579,1.716
Saline,T48,Bacteroides,Abundance,3,19.462,3.059
DMSO,T72,Bacteroides,Abundance,3,14.794,2.417
Imolope_high,T72,Bacteroides,Abundance,3,21.988,2.158
Imolope_low,T72,Bacteroides,Abundance,3,20.783,1.19
Lop_high,T72,Bacteroides,Abundance,3,16.283,2.035
Lop_low,T72,Bacteroides,Abundance,3,15.156,7.067
Saline,T72,Bacteroides,Abundance,3,15.984,3.144
DMSO,T0,Bifidobacterium,Abundance,3,0.005,0.006
Imolope_high,T0,Bifidobacterium,Abundance,3,0,0
Imolope_low,T0,Bifidobacterium,Abundance,3,0.007,0.005
Lop_high,T0,Bifidobacterium,Abundance,3,0,0
Lop_low,T0,Bifidobacterium,Abundance,3,0,0
Saline,T0,Bifidobacterium,Abundance,3,0.02,0.013
DMSO,T24,Bifidobacterium,Abundance,3,0,0
Imolope_high,T24,Bifidobacterium,Abundance,3,0.002,0.002
Imolope_low,T24,Bifidobacterium,Abundance,3,0,0
Lop_high,T24,Bifidobacterium,Abundance,3,0,0.001
Lop_low,T24,Bifidobacterium,Abundance,3,0,0
Saline,T24,Bifidobacterium,Abundance,3,0,0.001
DMSO,T48,Bifidobacterium,Abundance,3,0.001,0.001
Imolope_high,T48,Bifidobacterium,Abundance,3,0.001,0.001
Imolope_low,T48,Bifidobacterium,Abundance,3,0.001,0.001
Lop_high,T48,Bifidobacterium,Abundance,3,0,0
Lop_low,T48,Bifidobacterium,Abundance,3,0.002,0.001
Saline,T48,Bifidobacterium,Abundance,3,0.002,0.002
DMSO,T72,Bifidobacterium,Abundance,3,0,0
Imolope_high,T72,Bifidobacterium,Abundance,3,0.001,0.001
Imolope_low,T72,Bifidobacterium,Abundance,3,0,0
Lop_high,T72,Bifidobacterium,Abundance,3,0,0.001
Lop_low,T72,Bifidobacterium,Abundance,3,0.002,0.003
Saline,T72,Bifidobacterium,Abundance,3,0,0.001
DMSO,T0,Blautia,Abundance,3,0.059,0.01
Imolope_high,T0,Blautia,Abundance,3,0.045,0.01
Imolope_low,T0,Blautia,Abundance,3,0.041,0.015
Lop_high,T0,Blautia,Abundance,3,0.055,0.019
Lop_low,T0,Blautia,Abundance,3,0.033,0.016
Saline,T0,Blautia,Abundance,3,0.032,0.005
DMSO,T24,Blautia,Abundance,3,0,0
Imolope_high,T24,Blautia,Abundance,3,0,0
Imolope_low,T24,Blautia,Abundance,3,0,0
Lop_high,T24,Blautia,Abundance,3,0,0
Lop_low,T24,Blautia,Abundance,3,0,0
Saline,T24,Blautia,Abundance,3,0,0.001
DMSO,T48,Blautia,Abundance,3,0,0
Imolope_high,T48,Blautia,Abundance,3,0,0
Imolope_low,T48,Blautia,Abundance,3,0,0
Lop_high,T48,Blautia,Abundance,3,0,0
Lop_low,T48,Blautia,Abundance,3,0,0
Saline,T48,Blautia,Abundance,3,0,0
DMSO,T72,Blautia,Abundance,3,0,0
Imolope_high,T72,Blautia,Abundance,3,0,0
Imolope_low,T72,Blautia,Abundance,3,0,0
Lop_high,T72,Blautia,Abundance,3,0,0
Lop_low,T72,Blautia,Abundance,3,0,0
Saline,T72,Blautia,Abundance,3,0,0.001
DMSO,T0,Breznakia,Abundance,3,0.004,0.007
Imolope_high,T0,Breznakia,Abundance,3,0.001,0.002
Imolope_low,T0,Breznakia,Abundance,3,0.006,0.004
Lop_high,T0,Breznakia,Abundance,3,0.003,0.006
Lop_low,T0,Breznakia,Abundance,3,0.013,0.015
Saline,T0,Breznakia,Abundance,3,0.01,0.005
DMSO,T24,Breznakia,Abundance,3,0,0
Imolope_high,T24,Breznakia,Abundance,3,0,0
Imolope_low,T24,Breznakia,Abundance,3,0,0
Lop_high,T24,Breznakia,Abundance,3,0,0
Lop_low,T24,Breznakia,Abundance,3,0,0
Saline,T24,Breznakia,Abundance,3,0,0
DMSO,T48,Breznakia,Abundance,3,0,0
Imolope_high,T48,Breznakia,Abundance,3,0,0
Imolope_low,T48,Breznakia,Abundance,3,0,0
Lop_high,T48,Breznakia,Abundance,3,0,0
Lop_low,T48,Breznakia,Abundance,3,0,0
Saline,T48,Breznakia,Abundance,3,0,0
DMSO,T72,Breznakia,Abundance,3,0,0
Imolope_high,T72,Breznakia,Abundance,3,0,0
Imolope_low,T72,Breznakia,Abundance,3,0,0
Lop_high,T72,Breznakia,Abundance,3,0,0
Lop_low,T72,Breznakia,Abundance,3,0,0
Saline,T72,Breznakia,Abundance,3,0,0
DMSO,T0,Catabacter,Abundance,3,0.023,0.032
Imolope_high,T0,Catabacter,Abundance,3,0.021,0.009
Imolope_low,T0,Catabacter,Abundance,3,0.006,0.007
Lop_high,T0,Catabacter,Abundance,3,0.008,0.004
Lop_low,T0,Catabacter,Abundance,3,0.014,0.009
Saline,T0,Catabacter,Abundance,3,0.005,0.004
DMSO,T24,Catabacter,Abundance,3,0,0
Imolope_high,T24,Catabacter,Abundance,3,0,0
Imolope_low,T24,Catabacter,Abundance,3,0,0.001
Lop_high,T24,Catabacter,Abundance,3,0,0
Lop_low,T24,Catabacter,Abundance,3,0,0
Saline,T24,Catabacter,Abundance,3,0,0
DMSO,T48,Catabacter,Abundance,3,0,0
Imolope_high,T48,Catabacter,Abundance,3,0,0
Imolope_low,T48,Catabacter,Abundance,3,0,0
Lop_high,T48,Catabacter,Abundance,3,0,0
Lop_low,T48,Catabacter,Abundance,3,0,0
Saline,T48,Catabacter,Abundance,3,0,0
DMSO,T72,Catabacter,Abundance,3,0,0
Imolope_high,T72,Catabacter,Abundance,3,0,0
Imolope_low,T72,Catabacter,Abundance,3,0,0
Lop_high,T72,Catabacter,Abundance,3,0,0
Lop_low,T72,Catabacter,Abundance,3,0,0
Saline,T72,Catabacter,Abundance,3,0,0
DMSO,T0,Chitinophaga,Abundance,3,0.005,0.009
Imolope_high,T0,Chitinophaga,Abundance,3,0,0
Imolope_low,T0,Chitinophaga,Abundance,3,0.001,0.002
Lop_high,T0,Chitinophaga,Abundance,3,0,0
Lop_low,T0,Chitinophaga,Abundance,3,0,0
Saline,T0,Chitinophaga,Abundance,3,0,0
DMSO,T24,Chitinophaga,Abundance,3,0,0
Imolope_high,T24,Chitinophaga,Abundance,3,0,0
Imolope_low,T24,Chitinophaga,Abundance,3,0,0
Lop_high,T24,Chitinophaga,Abundance,3,0,0
Lop_low,T24,Chitinophaga,Abundance,3,0,0
Saline,T24,Chitinophaga,Abundance,3,0,0
DMSO,T48,Chitinophaga,Abundance,3,0,0
Imolope_high,T48,Chitinophaga,Abundance,3,0,0
Imolope_low,T48,Chitinophaga,Abundance,3,0,0
Lop_high,T48,Chitinophaga,Abundance,3,0,0
Lop_low,T48,Chitinophaga,Abundance,3,0,0
Saline,T48,Chitinophaga,Abundance,3,0,0
