ID,Day ,Date ,Animal ,Group ,BW ,FoodIntake,WaterIntake,Bacload,TT ,TT_FoldChange,TT_Increase,ox_iaa_cecum,Acetic_acid_cecum,Propanoic_acid_cecum,Butanoic_acid_cecum,Isobutyric_acid_cecum,Isovaleric_acid_cecum,Valeric_acid_cecum,Caproic_acid_cecum,Isocaproic_acid_cecum,Acetic_acid_feces,Propanoic_acid_feces,Butanoic_acid_feces,Isobutyric_acid_feces,Isovaleric_acid_feces,All_SCFAs_feces,Acetic_acid_change,Propanoic_acid_change,Butanoic_acid_change,Isobutyric_acid_change,Isovaleric_acid_change
M08_D06,D06,28_01_23,M08,Low,21,4,11,,NA,,,,,,,,,,,,,,,,,,,,,,
M09_D06,D06,28_01_23,M09,Low,18.9,3,7,,NA,,,,,,,,,,,,,,,,,,,,,,
M10_D06,D06,28_01_23,M10,Low,20.4,4,7,,NA,,,,,,,,,,,,,,,,,,,,,,
M11_D06,D06,28_01_23,M11,Low,16.5,1,2,,NA,,,,,,,,,,,,,,,,,,,,,,
M12_D06,D06,28_01_23,M12,Low,21,4,7,,NA,,,,,,,,,,,,,,,,,,,,,,
M13_D06,D06,28_01_23,M13,Medium,19.4,3,6,,NA,,,,,,,,,,,,,,,,,,,,,,
M14_D06,D06,28_01_23,M14,Medium,21.6,3,5,,NA,,,,,,,,,,,,,,,,,,,,,,
M15_D06,D06,28_01_23,M15,Medium,19.6,3,5,,NA,,,,,,,,,,,,,,,,,,,,,,
M16_D06,D06,28_01_23,M16,Medium,20.1,4,6,,NA,,,,,,,,,,,,,,,,,,,,,,
M17_D06,D06,28_01_23,M17,Medium,22.4,4,8,,NA,,,,,,,,,,,,,,,,,,,,,,
M18_D06,D06,28_01_23,M18,Medium,21,4,7,,NA,,,,,,,,,,,,,,,,,,,,,,
M19_D06,D06,28_01_23,M19,High ,20.5,3,6,,NA,,,,,,,,,,,,,,,,,,,,,,
M20_D06,D06,28_01_23,M20,High ,19.4,3,7,,NA,,,,,,,,,,,,,,,,,,,,,,
M21_D06,D06,28_01_23,M21,High ,20.8,4,7,,NA,,,,,,,,,,,,,,,,,,,,,,
M22_D06,D06,28_01_23,M22,High ,22,4,8,,NA,,,,,,,,,,,,,,,,,,,,,,
M23_D06,D06,28_01_23,M23,High ,19.7,3,7,,NA,,,,,,,,,,,,,,,,,,,,,,
M24_D06,D06,28_01_23,M24,High ,21.3,4,7,,NA,,,,,,,,,,,,,,,,,,,,,,
M01_D07,D07,29_01_23,M01,Control ,20.8,3,4,,NA,,,,,,,,,,,,3521.417,457.6017449,465.292506,27.7011246,19.21292053,4444.311251,-194.4650815,104.5031488,-516.1853086,-18.45407243,-11.99638931
M02_D07,D07,29_01_23,M02,Control ,20.5,0,3,,NA,,,,,,,,,,,,1803.131711,261.7714026,283.7287462,19.02584379,14.90998733,2348.63186,152.8121599,146.7653645,-296.1214083,-10.85882682,1.42191784
M03_D07,D07,29_01_23,M03,Control ,18.6,2,3,,NA,,,,,,,,,,,,2031.232579,122.0902971,732.4188262,9.947487583,26.17462881,2885.741702,-916.5970804,-161.7048434,-849.1929061,-42.02985386,-9.86737053
M04_D07,D07,29_01_23,M04,Control ,22.4,3,4,,NA,,,,,,,,,,,,3786.595999,403.7062264,746.6305785,21.45189502,23.75407786,4936.932804,2719.781304,209.9115411,603.8059388,21.45189502,16.14657713
M05_D07,D07,29_01_23,M05,Control ,18.3,0,4,,NA,,,,,,,,,,,,4314.476597,381.0505039,1296.720637,27.76783003,26.07093225,5992.247738,3008.498995,284.2857484,1164.347305,27.76783003,14.87692611
M06_D07,D07,29_01_23,M06,Control ,21.7,3,4,,NA,,,,,,,,,,,,2141.868173,270.6173547,276.5570675,28.62750731,21.40499043,2689.042595,686.7264038,66.75359449,-22.13931081,20.58483015,9.2602001
M07_D07,D07,29_01_23,M07,Low,21.7,2,3,,NA,,,,,,,,,,,,1922.31953,253.9654846,111.6230625,10.27401503,11.07390829,2287.908078,789.0149989,104.7054858,-57.66653475,10.27401503,-1.60542145
M08_D07,D07,29_01_23,M08,Low,21.4,3,5,,NA,,,,,,,,,,,,1273.55043,230.5434754,94.21130612,NA,NA,1598.305212,90.10696159,78.77466984,-114.7724756,0,0
M09_D07,D07,29_01_23,M09,Low,18.5,3,4,,NA,,,,,,,,,,,,2133.732524,367.283475,205.1618125,13.78087587,11.85405348,2706.177812,-893.6913477,108.3318379,-504.6583758,-47.34354932,-0.7637763
M10_D07,D07,29_01_23,M10,Low,20.3,2,5,,NA,,,,,,,,,,,,2251.669547,369.962211,170.6608484,29.99040129,16.91758428,2792.292607,619.7912525,119.6127913,-68.94758251,9.46655177,2.56480049
M11_D07,D07,29_01_23,M11,Low,18.2,3,5,,NA,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.42209152,-10.80133407
M12_D07,D07,29_01_23,M12,Low,21.3,4,5,,NA,,,,,,,,,,,,2634.782241,357.1000302,680.8282863,16.52082844,24.36269239,3672.710557,1014.858098,240.4244024,456.3467978,16.52082844,18.2649405
M13_D07,D07,29_01_23,M13,Medium,20.3,3,5,,NA,,,,,,,,,,,,1289.858383,151.0185762,238.8496151,6.946755246,12.3932541,1679.726574,-1221.711705,-95.30498333,-771.3679659,-27.69388941,-14.20602813
M14_D07,D07,29_01_23,M14,Medium,20.9,2,4,,NA,,,,,,,,,,,,3731.240348,487.9927289,960.5586184,17.01165168,17.90934565,5179.791696,2767.958662,407.5789403,752.5602424,17.01165168,10.56865048
M15_D07,D07,29_01_23,M15,Medium,19.8,2,4,,NA,,,,,,,,,,,,3385.708179,585.4908215,729.3100874,27.01670296,27.27641503,4700.509088,1039.232563,354.559977,10.82889099,6.27083043,13.08003209
M16_D07,D07,29_01_23,M16,Medium,19.8,2,5,,NA,,,,,,,,,,,,2292.231354,421.4190999,404.1221757,15.17359749,16.77615154,3117.772629,1348.455217,341.6879313,264.8331504,15.17359749,10.3584242
M17_D07,D07,29_01_23,M17,Medium,22.1,3,5,,NA,,,,,,,,,,,,2322.378255,240.8116616,428.2630542,19.80084149,14.5395998,2991.452971,-68.28515975,-29.79059557,-53.81236638,-7.55039543,-11.07831278
M18_D07,D07,29_01_23,M18,Medium,20.7,3,5,,NA,,,,,,,,,,,,1623.204775,237.5763166,450.8507051,9.941131448,21.25167916,2311.631797,-44.0948841,76.24562226,-27.14541161,-21.32189242,11.51152402
M19_D07,D07,29_01_23,M19,High ,20.7,3,7,,NA,,,,,,,,,,,,1825.425979,376.3798735,388.5463808,6.806908553,23.44878634,2590.352234,869.2459376,280.6289572,166.9410344,6.806908553,23.44878634
M20_D07,D07,29_01_23,M20,High ,19.4,2,4,,NA,,,,,,,,,,,,1958.534417,338.8915473,263.0509301,12.39845019,10.65201284,2560.476894,-37.03405005,193.8051936,-238.2954272,5.742560061,0.56108904
M21_D07,D07,29_01_23,M21,High ,20.6,1,5,,NA,,,,,,,,,,,,3641.237203,546.0942963,302.3972847,24.03967109,21.24286509,4489.728784,2816.864107,492.7188813,159.121305,24.03967109,21.24286509
M22_D07,D07,29_01_23,M22,High ,21.9,3,6,,NA,,,,,,,,,,,,2035.629325,306.6739547,169.1778117,15.99205217,17.91612301,2511.481091,197.8891719,-115.1432433,-137.1199764,-7.51136497,-5.6741568
M23_D07,D07,29_01_23,M23,High ,19.9,3,5,,NA,,,,,,,,,,,,3433.4626,398.226564,569.1099803,28.66406352,19.66579106,4400.799145,2435.813548,324.525881,457.4167219,28.66406352,14.05292207
