ID,Animal ,Day ,Group ,Treatment ,TT_D02,TT_D05,TT_D08,TT_D10,TT_AV,TT,TT_D05_log,TT_D08_log,TT_D10_log,TT_AV_log,bac_load,bac_load_log,Erysipelotrichaceae,Bacteroidaceae,Porphyromonadaceae,Akkermansiaceae,Sutterellaceae,Rikenellaceae,Prevotellaceae,Eggerthellaceae,Deferribacteraceae,Clostridiaceae_1,Phocaeicola,Bacteroides,Longibaculum,Amedibacillus,Holdemania
M03_D09,M03,D09,Control ,Control ,NA,NA,333,393,363,363,NA,2.522444234,2.59439255,2.559906625,2316168262,9.378067076,9.257167661,9.363006216,8.45381363,6.72953776,7.030567756,8.890905762,9.563322135,9.586870256,4.243164307,4.243164307,8.72953776,9.2480517,8.808719006,8.846809056,8.051757056
M04_D09,M04,D09,Control ,Control ,NA,NA,310,197,253.5,253.5,NA,2.491361694,2.294466226,2.403977964,2603060297,9.421889984,8.0585426,8.761116728,7.523429398,4.357164513,4.357164513,9.725606225,9.595311405,9.054908315,4.357164513,4.357164513,7.908780284,8.695364697,4.357164513,4.357164513,7.97936135
M05_D09,M05,D09,Control ,Control ,NA,NA,423,301,362,362,NA,2.626340367,2.478566496,2.558708571,19541101738,10.30119114,8.781108324,9.62231132,8.422086382,5.266923366,5.266923366,10.58643924,8.957199583,9.738356344,5.266923366,7.878018337,9.200237634,9.415837432,8.054109566,7.576988312,8.531230846
M06_D09,M06,D09,Control ,Control ,NA,NA,396,385,390.5,390.5,NA,2.597695186,2.58546073,2.591621038,2234190310,9.367983766,7.858899407,8.716231903,7.284868139,4.364502851,6.682808148,9.651757829,8.735886591,8.813141916,7.460959398,4.364502851,7.761989394,8.665079381,6.682808199,7.159929386,7.585898135
M07_D09,M07,D09,Low,Treatment ,NA,NA,420,382,401,401,NA,2.62324929,2.582063363,2.603144373,6993570993,9.853276157,9.968811284,10.6271272,9.415403213,7.752645381,8.627706645,9.338106111,9.940166102,9.968811284,7.92873664,8.229766636,9.924371835,10.53115839,9.114373217,7.928736657,8.956765365
M08_D09,M08,D09,Low,Treatment ,NA,NA,514,434,474,474,NA,2.710963119,2.63748973,2.675778342,21300393710,10.32527357,10.25376853,10.69966638,9.772027073,8.977306721,9.162943298,10.61878083,11.34571758,9.658547959,9.345283507,5.190432507,10.3508317,10.4416969,9.199155471,7.977306692,9.627290264
M09_D09,M09,D09,Low,Treatment ,NA,NA,417,413,415,415,NA,2.620136055,2.615950052,2.618048097,2190209288,9.340509751,9.178935628,9.558746782,8.665550036,6.620227057,8.035200405,9.082625055,9.688041568,9.974719658,4.150131504,8.523317044,8.996804014,9.419567606,8.974335496,7.962649739,8.067385091
M10_D09,M10,D09,Low,Treatment ,NA,NA,357,369,363,363,NA,2.552668216,2.567026366,2.559906625,3188303263,9.502241018,9.786942975,10.10592594,8.474109584,7.261034759,8.590093478,9.406127527,10.20370409,9.545089318,7.0849435,7.738156014,9.71942077,9.876283204,9.504899249,6.783913505,8.681540596
M11_D09,M11,D09,Low,Treatment ,NA,NA,390,368,379,379,NA,2.591064607,2.565847819,2.57863921,11280282175,10.06048453,10.28451058,10.85018978,9.405554278,8.205329339,9.100593988,9.36883147,10.96120419,10.09182006,7.360231299,4.902546786,10.26548735,10.71930752,9.393655054,9.342502533,9.166411272
M12_D09,M12,D09,Low,Treatment ,NA,NA,389,461,425,425,NA,2.589949601,2.663700925,2.62838893,24174145021,10.39413804,9.999546733,10.05787058,8.899972329,5.171483362,9.240873836,10.42501714,10.31365888,10.19086269,7.484998981,8.330097021,9.248426977,9.984686063,9.471770715,8.330097027,9.003512923
M13_D09,M13,D09,Medium,Treatment ,NA,NA,648,536,592,592,NA,2.811575006,2.72916479,2.772321707,14292397716,10.16044691,9.816182937,10.1189606,8.700484857,7.898852511,8.535674608,10.37063302,9.971959609,10.03132567,8.85309502,9.40850299,9.302544849,10.04704371,9.102972496,7.421731146,8.953210173
M14_D09,M14,D09,Medium,Treatment ,NA,NA,492,452,472,472,NA,2.691965103,2.655138435,2.673941999,5687697090,9.765131317,10.11176736,10.75499663,9.676759779,7.528568583,9.047082523,9.549757882,10.60678366,9.334748557,4.647475485,4.647475485,10.37901059,10.51787005,9.405555768,4.647475485,9.064284552
M15_D09,M15,D09,Medium,Treatment ,NA,NA,350,652,501,501,NA,2.544068044,2.814247596,2.699837726,26429586856,10.42828346,10.29254516,10.31835242,8.602349077,8.813202442,8.398229094,9.613072942,10.53431519,10.19062078,8.176380345,9.580072682,9.648649096,10.21380684,9.462687082,5.380887241,9.279042685
M16_D09,M16,D09,Medium,Treatment ,NA,NA,444,534,489,489,NA,2.64738297,2.727541257,2.689308859,4415837221,9.650453678,10.10683051,9.596458489,9.357949826,7.950194835,8.883248046,8.184278041,10.17365369,10.27063787,7.105096795,7.105096795,9.134480572,9.412592834,9.406126791,4.503764014,8.447519474
M17_D09,M17,D09,Medium,Treatment ,NA,NA,705,469,587,587,NA,2.848189117,2.671172843,2.768638101,2601276156,9.420461817,8.809921329,9.943814908,8.944798588,7.714349667,7.445504354,8.693828,9.296762703,9.500226817,6.90143631,8.613243539,9.832894181,9.296762703,4.268122598,7.299376334,8.514220166
M18_D09,M18,D09,Medium,Treatment ,NA,NA,462,361,411.5,411.5,NA,2.664641976,2.557507202,2.61436984,4864231724,9.682881634,9.820598794,10.13248026,9.139566805,7.600490706,8.609090877,9.071782417,10.13248026,9.594367621,6.901520701,9.822686752,9.716433882,9.92229619,6.9015206,4.531101567,8.901520701
M19_D09,M19,D09,High,Treatment ,NA,NA,601,554,577.5,577.5,NA,2.778874472,2.743509765,2.761551989,20559281969,10.32132306,10.36098494,1.10E+01,9.655743428,9.091471998,8.693531989,10.39250199,10.8427511,10.08856701,8.693531989,11.08417276,10.77631736,10.61521846,9.216410737,5.575847118,9.170653242
M20_D09,M20,D09,High,Treatment ,NA,NA,659,650,654.5,654.5,NA,2.818885415,2.812913357,2.815909651,18802828141,10.27871219,10.48464246,10.90804898,9.880876009,8.555223539,8.856253534,9.192045636,10.09093951,10.09409039,9.109510748,5.142130063,10.4537659,10.72007188,10.13500714,8.873982304,5.142130063
M21_D09,M21,D09,High,Treatment ,NA,NA,458,473,465.5,465.5,NA,2.660865478,2.674861141,2.667919685,14113240758,10.15071269,10.32939071,10.58409846,9.60154458,8.351667107,9.096394601,9.248682946,10.40260511,9.94765295,5.082674997,5.082674997,10.22155043,10.33694385,9.772172943,7.698454541,9.060182431
M22_D09,M22,D09,High,Treatment ,NA,NA,457,552,504.5,504.5,NA,2.6599162,2.741939078,2.702861171,3471872878,9.549274558,9.8117537,9.882911399,8.458029762,7.458029762,7.905187794,9.083342213,8.989508679,9.311727974,7.989508679,4.419575528,9.529911769,9.628291478,8.514934613,7.963179735,8.976543702
M23_D09,M23,D09,High,Treatment ,NA,NA,410,606,508,508,NA,2.612783857,2.782472624,2.705863712,7226590585,9.86750018,9.70490095,10.22252342,9.017741906,7.882079304,9.012413073,9.908067486,10.47016418,9.717769876,7.581049309,4.782642622,9.80635859,10.01241307,9.141354552,7.88207932,8.058170566
M24_D09,M24,D09,High,Treatment ,NA,NA,456,505,480.5,480.5,NA,2.658964843,2.703291378,2.681693392,19673405740,10.29811707,10.3391604,10.28574297,9.23138531,7.754264055,9.760730097,9.729695864,10.83471015,9.951544613,8.152204064,9.193596749,9.835251102,10.09569858,9.777516515,8.494626739,9.279308861
